subject,condition,roc_auc_csp,roc_auc_riemann,paired_difference_csp_minus_riemann
11,region_midline_motor_strip,0.6300000000000001,0.76,-0.1299999999999999
11,region_left_motor_strip,0.66,0.8099999999999999,-0.1499999999999999
11,region_right_motor_strip,0.7,0.73,-0.030000000000000027
12,dropout_0.1,0.407,0.772,-0.36500000000000005
12,dropout_0.2,0.422,0.742,-0.32
12,dropout_0.3,0.3879999999999999,0.7390000000000001,-0.3510000000000002
12,dropout_0.5,0.439,0.7140000000000001,-0.2750000000000001
12,clean,0.42,0.8,-0.38000000000000006
12,motor_core,0.64,0.62,0.020000000000000018
12,motor_extended,0.6799999999999999,0.78,-0.10000000000000009
12,region_midline_motor_strip,0.4,0.79,-0.39
12,region_left_motor_strip,0.4599999999999999,0.75,-0.2900000000000001
12,region_right_motor_strip,0.54,0.78,-0.24
13,dropout_0.1,0.5539999999999999,0.698,-0.14400000000000002
13,dropout_0.2,0.461,0.684,-0.22300000000000003
13,dropout_0.3,0.512,0.6709999999999999,-0.15899999999999992
13,dropout_0.5,0.489,0.634,-0.14500000000000002
13,clean,0.63,0.6900000000000001,-0.06000000000000005
13,motor_core,0.6599999999999999,0.6799999999999999,-0.020000000000000018
13,motor_extended,0.72,0.8,-0.08000000000000007
13,region_midline_motor_strip,0.5,0.6900000000000001,-0.19000000000000006
13,region_left_motor_strip,0.5,0.5800000000000001,-0.08000000000000007
13,region_right_motor_strip,0.61,0.65,-0.040000000000000036
14,dropout_0.1,0.5455,0.522,0.023499999999999965
14,dropout_0.2,0.535,0.5479999999999999,-0.0129999999999999
14,dropout_0.3,0.5345,0.51,0.024499999999999966
14,dropout_0.5,0.531,0.6,-0.06899999999999995
14,clean,0.5,0.52,-0.020000000000000018
14,motor_core,0.67,0.6,0.07000000000000006
14,motor_extended,0.62,0.65,-0.030000000000000027
14,region_midline_motor_strip,0.52,0.5,0.020000000000000018
14,region_left_motor_strip,0.49,0.51,-0.020000000000000018
14,region_right_motor_strip,0.5700000000000001,0.53,0.040000000000000036
15,dropout_0.1,0.6585,0.785,-0.12650000000000006
15,dropout_0.2,0.5954999999999999,0.7,-0.10450000000000004
15,dropout_0.3,0.5775,0.634,-0.056499999999999995
15,dropout_0.5,0.519,0.555,-0.03600000000000003
15,clean,0.85,0.8699999999999999,-0.019999999999999907
15,motor_core,0.82,0.79,0.029999999999999916
15,motor_extended,0.86,0.91,-0.050000000000000044
15,region_midline_motor_strip,0.76,0.8300000000000001,-0.07000000000000006
15,region_left_motor_strip,0.5800000000000001,0.86,-0.2799999999999999
15,region_right_motor_strip,0.6,0.7,-0.09999999999999998
16,dropout_0.1,0.603,0.521,0.08199999999999996
16,dropout_0.2,0.595,0.51,0.08499999999999996
16,dropout_0.3,0.5720000000000001,0.5419999999999999,0.030000000000000138
16,dropout_0.5,0.564,0.546,0.017999999999999905
16,clean,0.5200000000000001,0.56,-0.039999999999999925
16,motor_core,0.62,0.53,0.08999999999999997
16,motor_extended,0.5399999999999999,0.71,-0.17000000000000004
16,region_midline_motor_strip,0.62,0.54,0.07999999999999996
16,region_left_motor_strip,0.54,0.51,0.030000000000000027
16,region_right_motor_strip,0.65,0.5,0.15000000000000002
17,dropout_0.1,0.456,0.361,0.09500000000000003
17,dropout_0.2,0.484,0.3229999999999999,0.1610000000000001
17,dropout_0.3,0.4465,0.3279999999999999,0.1185000000000001
17,dropout_0.5,0.439,0.336,0.10299999999999998
17,clean,0.48,0.42,0.06
17,motor_core,0.4599999999999999,0.37,0.08999999999999991
17,motor_extended,0.41,0.35,0.06
17,region_midline_motor_strip,0.48,0.39,0.08999999999999997
17,region_left_motor_strip,0.38,0.45,-0.07
17,region_right_motor_strip,0.37,0.37,0.0
18,dropout_0.1,0.5645,0.52,0.044499999999999984
18,dropout_0.2,0.5375,0.5269999999999999,0.010500000000000065
18,dropout_0.3,0.4955,0.5429999999999999,-0.04749999999999993
18,dropout_0.5,0.519,0.527,-0.008000000000000007
18,clean,0.63,0.58,0.050000000000000044
18,motor_core,0.41,0.2599999999999999,0.15000000000000008
18,motor_extended,0.31,0.35,-0.03999999999999998
18,region_midline_motor_strip,0.58,0.54,0.039999999999999925
18,region_left_motor_strip,0.71,0.5199999999999999,0.19000000000000006
18,region_right_motor_strip,0.7,0.5,0.19999999999999996
19,dropout_0.1,0.4994999999999999,0.539,-0.039500000000000146
19,dropout_0.2,0.4475,0.505,-0.057499999999999996
19,dropout_0.3,0.4465,0.519,-0.07250000000000001
19,dropout_0.5,0.4529999999999999,0.522,-0.06900000000000012
19,clean,0.5,0.58,-0.07999999999999996
