condition,n_subjects,mean_change_csp,mean_change_riemann,mean_difference_in_degradation_csp_minus_riemann,ci95_low,ci95_high,cohens_dz,paired_t_statistic,paired_t_p_value,wilcoxon_statistic,wilcoxon_p_value,shapiro_p_value,paired_t_p_value_bh_fdr,wilcoxon_p_value_bh_fdr
dropout_0.1,109,-0.06520400101936799,-0.03572375127421,-0.02948024974515801,-0.044825525231494814,-0.01413497425882121,-0.3647412498166321,-3.8080104445287533,0.00023297753782728072,1833.0,0.0006681541819332315,0.8500127671310851,0.0010483989202227633,0.003006693818699542
dropout_0.2,109,-0.10179051987767583,-0.07143042813455658,-0.030360091743119263,-0.050312502617462646,-0.010407680868775884,-0.28889239752022017,-3.0161251782051286,0.003192496310029359,2108.0,0.0071626727048462145,0.843218610229302,0.007183116697566058,0.012892810868723185
dropout_0.3,109,-0.1117278287461774,-0.08101987767584096,-0.030707951070336394,-0.050588283189437935,-0.010827618951234852,-0.2932618821818441,-3.0617439373584663,0.002777258472487281,2057.5,0.004485128319832105,0.23573429961733372,0.007183116697566058,0.010601047092340152
dropout_0.5,109,-0.12768871049949035,-0.12100790010193681,-0.006680810397553521,-0.027837997015246408,0.014476376220139368,-0.059951443283933446,-0.6259114435358321,0.5326935791554167,2768.0,0.48778498292380634,0.5146663964272183,0.5326935791554167,0.48778498292380634
motor_core,109,-0.006707441386340476,-0.03623853211009175,0.02953109072375127,0.007063475622062148,0.05199870582544039,0.24954617968778275,2.6053386040681197,0.010472109708154077,1898.5,0.004711576485484511,0.09998271217592178,0.018849797474677337,0.010601047092340152
motor_extended,109,0.013654434250764522,0.001467889908256877,0.012186544342507639,-0.010085604005982093,0.03445869269099737,0.10388357228730542,1.0845763359200344,0.2805245169770501,2492.0,0.2172196408903091,0.9887999984388276,0.3155900815991814,0.24437209600159773
region_left_motor_strip,109,-0.057647808358817526,-0.039184505606523944,-0.018463302752293582,-0.03681238612503589,-0.00011421937955127456,-0.19103961322253663,-1.994512117387003,0.04861563840472168,2123.0,0.0349924620859222,0.18438425783928258,0.07292345760708253,0.0524886931288833
region_midline_motor_strip,109,-0.04838939857288481,-0.012821100917431197,-0.03556829765545362,-0.05380676561372834,-0.017329829697178906,-0.37025688094920317,-3.865595324142885,0.00018958612028166147,1684.5,0.00011445951631528168,0.5102396444652268,0.0010483989202227633,0.001030135646837535
region_right_motor_strip,109,-0.06138379204892968,-0.0478593272171254,-0.013524464831804276,-0.031659497783667064,0.004610568120058509,-0.1415892081514739,-1.4782347314553235,0.142255525535585,2496.0,0.17062176998895318,0.5390884557293658,0.18289996140289497,0.21937084712865407
