condition,n_subjects,mean_condition_auc,mean_clean_auc,mean_delta_auc,delta_ci_low,delta_ci_high,shapiro_p,paired_t_stat,paired_t_p,wilcoxon_stat,wilcoxon_p,cohens_dz,paired_t_p_bh_fdr,wilcoxon_p_bh_fdr
cross_session_0,9,0.8529878257887517,0.8523469792197497,0.0006408465690019725,-0.015279638740291477,0.019389918602401128,0.5985827300783071,0.06713770092434992,0.9481196765545649,22.0,1.0,0.022379233641449975,0.9481196765545649,1.0
dropout_0.1,9,0.7365129381122247,0.8523469792197497,-0.11583404110752503,-0.13693119278843943,-0.08765923583191479,0.27267942772478215,-8.961510897173945,1.912414852786224e-05,0.0,0.00390625,-2.9871702990579814,3.4423467350152026e-05,0.005022321428571428
dropout_0.2,9,0.6912125115603119,0.8523469792197497,-0.1611344676594379,-0.18719102236580423,-0.12050982349393201,0.13846443102344796,-9.186332446989981,1.593559831238849e-05,0.0,0.00390625,-3.062110815663327,3.4423467350152026e-05,0.005022321428571428
dropout_0.3,9,0.6411946756506804,0.8523469792197497,-0.21115230356906928,-0.2447231605665672,-0.1621974283590912,0.11637235208388824,-9.667413172472733,1.0920358617542658e-05,0.0,0.00390625,-3.2224710574909112,3.4423467350152026e-05,0.005022321428571428
dropout_0.5,9,0.6164724534284581,0.8523469792197497,-0.2358745257912915,-0.2727574538869354,-0.17919934993328956,0.09308705340610879,-9.480737219236563,1.2620614795226399e-05,0.0,0.00390625,-3.160245739745521,3.4423467350152026e-05,0.005022321428571428
motor_core,9,0.7545354170205537,0.8523469792197497,-0.09781156219919594,-0.150762574138988,-0.06485018546381549,0.25597761929695706,-4.388784132429259,0.002321321296869127,0.0,0.00390625,-1.4629280441430863,0.0029845559531174485,0.005022321428571428
motor_extended,9,0.8013928996093087,0.8523469792197497,-0.050954079610441,-0.10117440441714783,-0.0206499736839986,0.09047895530415488,-2.4976298882063706,0.0370787233249193,2.0,0.01171875,-0.8325432960687902,0.04171356374053421,0.01318359375
region_dropout_0.136364,9,0.7655719759168035,0.8523469792197497,-0.08677500330294617,-0.12460076511727355,-0.054818526697242485,0.3636915534502202,-4.624113040776939,0.0017010514751036542,0.0,0.00390625,-1.5413710135923129,0.0025515772126554815,0.005022321428571428
region_dropout_0.318182,9,0.6885821867391427,0.8523469792197497,-0.16376479248060694,-0.1935415772046537,-0.13265352555671492,0.892496571758369,-9.87788763101777,9.302930935769771e-06,0.0,0.00390625,-3.2926292103392565,3.4423467350152026e-05,0.005022321428571428
