dropout_fraction,clean_working_subjects,failures,failure_rate,failure_rate_ci_low,failure_rate_ci_high
0.1,62,7,0.11290322580645161,0.04661662437281649,0.21888678652085786
0.2,62,12,0.1935483870967742,0.1042096292621763,0.31368595169946273
0.3,62,15,0.24193548387096775,0.14218603584801806,0.3674497071859446
0.5,62,27,0.43548387096774194,0.30991206226817086,0.5674260356358476
