dataset,pipeline,metric,n_subjects,mean_slope_per_10pct_dropout,slope_ci_low,slope_ci_high,slope_sd,t_statistic_vs_zero,t_p_value_vs_zero,shapiro_p_value_slope,n_harmful_slope,pct_harmful_slope,t_p_value_vs_zero_bh_fdr
PhysionetMotorImagery,csp_lda,balanced_accuracy,109,-0.018637573353169682,-0.022901804740699166,-0.014373341965640198,0.022460134335180765,-8.663437871099855,4.986210091303585e-14,0.011538679556734379,85,0.7798165137614679,4.986210091303585e-14
PhysionetMotorImagery,csp_lda,brier_score,109,0.028624002922066613,0.025250261920420153,0.03199774392371307,0.017769832174371638,16.817455622869108,6.175719094536847e-32,0.00989747907209226,106,0.9724770642201835,2.470287637814739e-31
PhysionetMotorImagery,csp_lda,ece,109,0.022378375206002565,0.018716374537335146,0.026040375874669983,0.01928812474724634,12.113002139071405,7.554073567857241e-22,0.004765245849089052,100,0.9174311926605505,1.5108147135714481e-21
PhysionetMotorImagery,csp_lda,roc_auc,109,-0.02353430724302284,-0.028260043620024933,-0.018808570866020745,0.024890927394446795,-9.871282704671312,9.152928096873527e-17,0.3652738929633617,88,0.8073394495412844,1.2203904129164703e-16
