subject,clean_auc,dropout50_auc,worst_dropout_auc,worst_dropout_delta,best_montage,best_montage_auc,best_montage_gain,clean_working,dropout_failure,montage_rescue,deployability_score,priority,recommended_action,rationale
2,0.6956429420757602,0.5160183455070494,0.5160183455070494,-0.17962459656871077,motor_extended,0.5918634278919653,-0.10377951418379483,True,True,False,0.655975029726516,A_high,do not deploy without recalibration/dropout-aware training,"clean decoder works, but 50% dropout fails and reduced montage does not rescue enough"
5,0.7060472226940717,0.5630626804824189,0.5630626804824189,-0.1429845422116528,motor_extended,0.6025479870901987,-0.10349923560387297,True,True,False,0.6821683370137592,A_high,do not deploy without recalibration/dropout-aware training,"clean decoder works, but 50% dropout fails and reduced montage does not rescue enough"
6,0.857295736368269,0.6026558518770172,0.6026558518770172,-0.25463988449125174,motor_extended,0.7751231527093596,-0.08217258365890934,True,False,False,0.7451087141158484,B_fragile,deploy only with monitoring; subject is fragile under dropout,"clean decoder works, but worst dropout loss is at least 0.20 ROC-AUC"
7,0.9410056055715984,0.6991387803635127,0.6991387803635127,-0.24186682520808567,motor_extended,0.778435535926618,-0.16257006964498044,True,False,False,0.7941782741634109,B_fragile,deploy only with monitoring; subject is fragile under dropout,"clean decoder works, but worst dropout loss is at least 0.20 ROC-AUC"
1,0.9608799048751486,0.8263266519449634,0.8263266519449634,-0.13455325293018527,motor_extended,0.9548496687616784,-0.0060302361134702,True,False,False,0.9018757431629013,C_ok_dev,acceptable in dev-run; still validate on more sessions,clean and dropout performance did not trigger failure rules
3,0.9969084423305588,0.8862085952097842,0.8862085952097842,-0.11069984712077452,motor_extended,0.9942755223373536,-0.0026329199932051406,True,False,False,0.9416731781892305,C_ok_dev,acceptable in dev-run; still validate on more sessions,clean and dropout performance did not trigger failure rules
4,0.8814506539833532,0.6913317479191439,0.6913317479191439,-0.19011890606420934,motor_extended,0.8645065398335315,-0.016944114149821665,True,False,False,0.8117925089179548,C_ok_dev,acceptable in dev-run; still validate on more sessions,clean and dropout performance did not trigger failure rules
8,0.9966366570409376,0.9152734839476814,0.9152734839476814,-0.08136317309325625,motor_extended,0.9906064209274672,-0.006030236113470422,True,False,False,0.9552883472057075,C_ok_dev,acceptable in dev-run; still validate on more sessions,clean and dropout performance did not trigger failure rules
9,0.9324698488194328,0.7788457618481399,0.7788457618481399,-0.15362408697129293,motor_extended,0.9016731781892304,-0.030796670630202416,True,False,False,0.8648411754713776,C_ok_dev,acceptable in dev-run; still validate on more sessions,clean and dropout performance did not trigger failure rules
