metric,numerator,denominator,rate,ci_low,ci_high
clean_working,8.0,9,0.8888888888888888,0.517503485082663,0.9971908632534008
dropout_failure_among_all,3.0,9,0.3333333333333333,0.07485463141969183,0.7007049437914596
montage_rescue_among_all,1.0,9,0.1111111111111111,0.002809136746599214,0.48249651491733697
montage_rescue_among_dropout_failures,0.0,3,0.0,0.0,0.7075982261787133
mean_deployability_score,,9,0.7623944236830682,,
