dataset,pipeline,stressor,montage,dropout_fraction,region,session_train,session_test,n_subjects,mean_roc_auc,roc_auc_ci_low,roc_auc_ci_high,mean_balanced_accuracy,balanced_accuracy_ci_low,balanced_accuracy_ci_high,mean_brier_score,brier_score_ci_low,brier_score_ci_high,mean_ece,ece_ci_low,ece_ci_high,mean_n_channels
BNCI2014-001,riemann_lr,channel_dropout,all_channels,0.1,,,,9,0.849847875733726,0.7456205164903666,0.9202463233191023,0.6235235358511221,0.5778874544670667,0.6862383156302403,0.29626193177098104,0.24301269224451982,0.33839269328732424,0.3149809241337896,0.2895277975684398,0.3456402605046797,22.0
BNCI2014-001,riemann_lr,channel_dropout,all_channels,0.2,,,,9,0.8203851235301889,0.7263279271146637,0.8979043194654174,0.5608401751505201,0.5376204159824849,0.606313701029547,0.36751725559045867,0.3258245354243419,0.38791163179667637,0.37998032969004225,0.35884832577228404,0.394567263599682,22.0
BNCI2014-001,riemann_lr,channel_dropout,all_channels,0.3,,,,9,0.7723994488798294,0.674341486892022,0.8597332552879036,0.5358648056923919,0.5189209363364102,0.5609439148238483,0.3994044743566781,0.3706169413691285,0.42036985661726717,0.40473674538788007,0.39239576799831405,0.4202455009308476,22.0
BNCI2014-001,riemann_lr,channel_dropout,all_channels,0.5,,,,9,0.7241316082517033,0.6288635185905973,0.8168022911504019,0.520353037766831,0.5098590193372221,0.5350790967962099,0.41170598270231734,0.38766923837473505,0.43028175092687904,0.41047669070793474,0.39253773772792855,0.4255794421835359,22.0
BNCI2014-001,riemann_lr,clean,all_channels,0.0,,,,9,0.8775994186814638,0.7808590247237054,0.9414221942452481,0.821784345922277,0.7373686809300621,0.8951807267830738,0.12506066864757248,0.08048272186473286,0.17091177474344568,0.11622190048256659,0.10067541685766052,0.13454128711852137,22.0
BNCI2014-001,riemann_lr,cross_session,all_channels,0.0,,0train,1test,9,0.8702632030178328,0.7723650019558995,0.9363908460899588,0.771604938271605,0.6751543209876544,0.8734567901234569,0.1481728239559481,0.0955198694917834,0.19305186618764145,0.12895866987423985,0.10561619868315467,0.18628315356464742,22.0
BNCI2014-001,riemann_lr,reduced_montage,motor_core,0.0,,,,9,0.7669252401713756,0.6674313212539804,0.8611758980589755,0.7076628352490422,0.6280290407543236,0.7981619766384738,0.1831825691835416,0.13623734275212016,0.21729904053744103,0.12093568371678225,0.09274817889178419,0.13963447759048647,3.0
BNCI2014-001,riemann_lr,reduced_montage,motor_extended,0.0,,,,9,0.8281911179057434,0.718754845967517,0.9124129878190164,0.7642036124794745,0.6691012569651131,0.8541169825739052,0.1486455148236948,0.09585135284380829,0.19286890015219846,0.120861041963067,0.11021397280321879,0.1332559710570479,9.0
BNCI2014-001,riemann_lr,region_dropout,all_channels,0.13636363636363635,midline_motor_strip,,,9,0.8561180001132438,0.7449625215491562,0.9283527660200948,0.6230842911877396,0.5486484899990898,0.7306171854600731,0.30531685096946426,0.20889836093709951,0.388398714124324,0.33394715302184,0.2624104911477239,0.4087793538387606,22.0
BNCI2014-001,riemann_lr,region_dropout,all_channels,0.3181818181818182,left_motor_strip,,,9,0.7805739576845404,0.6811942655850796,0.8434831983512493,0.5014778325123153,0.4996168582375479,0.5048166392993979,0.4732774256126587,0.4456111293168137,0.49043341585953293,0.47333583989287153,0.43672483628117503,0.4923583343354639,22.0
BNCI2014-001,riemann_lr,region_dropout,all_channels,0.3181818181818182,right_motor_strip,,,9,0.711828322292056,0.6281491310874276,0.7972583226337411,0.504912424740011,0.4947728516694033,0.5186103400591248,0.442892248109823,0.38248538954473643,0.4809468956948821,0.42937487736788005,0.35304456654578825,0.4763136245920508,22.0
