condition,metric,metric_role,n_subjects,mean_delta_condition_minus_clean,delta_ci_low,delta_ci_high,median_delta_condition_minus_clean,median_delta_ci_low,median_delta_ci_high,cohens_dz,cohens_dz_magnitude,n_worse_than_clean,pct_worse_than_clean,n_better_than_clean,pct_better_than_clean,sign_test_p_value_bh_fdr,evidence_flag
cross_session_0,roc_auc,primary,9,0.0006408465690019725,-0.021370554146299774,0.022652247284303716,0.003311616461883937,-0.026358048283831037,0.01401942079954377,0.022379233641449975,negligible,4,0.4444444444444444,5,0.5555555555555556,1.0,descriptive_or_not_fdr_significant
reduced_montage_motor_core,roc_auc,primary,9,-0.09781156219919594,-0.14920480918883036,-0.04641831520956152,-0.08316629862408687,-0.12588754883641934,-0.05788177339901457,-1.4629280441430863,large,9,1.0,0,0.0,0.005208333333333333,fdr_significant_ttest
reduced_montage_motor_extended,roc_auc,primary,9,-0.050954079610441,-0.09799880743101494,-0.003909351789867059,-0.03420248004076765,-0.059113300492610876,-0.011279089519279584,-0.8325432960687902,large,8,0.8888888888888888,1,0.1111111111111111,0.043402777777777776,fdr_significant_ttest
region_dropout_left_motor_strip_0.318182,roc_auc,primary,9,-0.14620444293452617,-0.19704162781395926,-0.09536725805509308,-0.1550280278579923,-0.1776286733480551,-0.1326736877866485,-2.210639389204501,large,9,1.0,0,0.0,0.005208333333333333,fdr_significant_ttest
region_dropout_midline_motor_strip_0.136364,roc_auc,primary,9,-0.08677500330294617,-0.13004892733645723,-0.043501079269435125,-0.060064549006284995,-0.11685068795651443,-0.046483777815525706,-1.5413710135923129,large,9,1.0,0,0.0,0.005208333333333333,fdr_significant_ttest
region_dropout_right_motor_strip_0.318182,roc_auc,primary,9,-0.18132514202668779,-0.2666611415385755,-0.09598914251480008,-0.14216918634278908,-0.20502802785799212,-0.11794632240529968,-1.6332947787636265,large,9,1.0,0,0.0,0.005208333333333333,fdr_significant_ttest
channel_dropout_0.1,balanced_accuracy,secondary,9,-0.24730569239189926,-0.3382429785050325,-0.15636840627876603,-0.2548768472906404,-0.30307881773399004,-0.210652709359606,-2.0904074800361703,large,9,1.0,0,0.0,0.005208333333333333,fdr_significant_ttest
channel_dropout_0.2,balanced_accuracy,secondary,9,-0.2688984674329502,-0.3713403530322077,-0.1664565818336927,-0.2710960591133006,-0.32387931034482764,-0.2223152709359606,-2.017667461647934,large,9,1.0,0,0.0,0.005208333333333333,fdr_significant_ttest
channel_dropout_0.3,balanced_accuracy,secondary,9,-0.27633689107827036,-0.3805407375741316,-0.17213304458240913,-0.31870689655172424,-0.3413300492610837,-0.2211206896551725,-2.0384212770279526,large,9,1.0,0,0.0,0.005208333333333333,fdr_significant_ttest
channel_dropout_0.5,balanced_accuracy,secondary,9,-0.28127805145046525,-0.38794854790273553,-0.17460755499819497,-0.3254433497536947,-0.3398768472906404,-0.22600985221674885,-2.0268908191097053,large,9,1.0,0,0.0,0.005208333333333333,fdr_significant_ttest
cross_session_0,balanced_accuracy,secondary,9,-0.03436644772851674,-0.08149140719460304,0.012758511737569561,-0.02442528735632188,-0.08043240284619602,-0.01026272577996723,-0.5605604862201133,medium,8,0.8888888888888888,1,0.1111111111111111,0.043402777777777776,descriptive_or_not_fdr_significant
reduced_montage_motor_core,balanced_accuracy,secondary,9,-0.09076354679802956,-0.1355632417206987,-0.04596385187536043,-0.08325123152709357,-0.11896551724137927,-0.045073891625615814,-1.5573105620721863,large,9,1.0,0,0.0,0.005208333333333333,fdr_significant_ttest
reduced_montage_motor_extended,balanced_accuracy,secondary,9,-0.04600437876299945,-0.0831339507367029,-0.008874806789295996,-0.031157635467980005,-0.07302955665024635,-0.020935960591133118,-0.952397078893608,large,8,0.8888888888888888,1,0.1111111111111111,0.043402777777777776,fdr_significant_ttest
region_dropout_left_motor_strip_0.318182,balanced_accuracy,secondary,9,-0.2527914614121511,-0.3792669891653784,-0.12631593365892382,-0.2677339901477833,-0.35775862068965514,-0.07426108374384233,-1.536366140592101,large,9,1.0,0,0.0,0.005208333333333333,fdr_significant_ttest
region_dropout_midline_motor_strip_0.136364,balanced_accuracy,secondary,9,-0.204488232074439,-0.2815635369368996,-0.1274129272119784,-0.22980295566502462,-0.23793103448275865,-0.10812807881773412,-2.039350604821776,large,9,1.0,0,0.0,0.005208333333333333,fdr_significant_ttest
region_dropout_right_motor_strip_0.318182,balanced_accuracy,secondary,9,-0.2818828680897647,-0.3904958204593651,-0.1732699157201643,-0.2996305418719212,-0.3332512315270937,-0.23559113300492618,-1.9949218617629696,large,9,1.0,0,0.0,0.005208333333333333,fdr_significant_ttest
