condition,n_subjects,mean_condition_auc,mean_clean_auc,mean_delta_auc,delta_ci_low,delta_ci_high,shapiro_p,paired_t_stat,paired_t_p,wilcoxon_stat,wilcoxon_p,cohens_dz,paired_t_p_bh_fdr,wilcoxon_p_bh_fdr
cross_session_0,9,0.8702632030178327,0.8775994186814637,-0.0073362156636311605,-0.01950469056098312,0.0034130031548387945,0.4848993753523557,-1.16276559901438,0.27843380154285846,14.0,0.359375,-0.38758853300479335,0.27843380154285846,0.359375
dropout_0.1,9,0.8514648094671877,0.8775994186814637,-0.026134609214276263,-0.038614178132608507,-0.015532063612126378,0.4033523079461005,-4.112788275887153,0.00337761876533944,0.0,0.00390625,-1.3709294252957176,0.00506642814800916,0.005022321428571428
dropout_0.2,9,0.8199878262839024,0.8775994186814637,-0.057611592397561466,-0.07864400613091499,-0.03691594266273844,0.20822942710167103,-4.99377175053372,0.0010610521441868674,0.0,0.00390625,-1.6645905835112402,0.002218302785865031,0.005022321428571428
dropout_0.3,9,0.7738719966781797,0.8775994186814637,-0.10372742200328404,-0.13304710945020096,-0.07106590793273311,0.46508347692887453,-6.154405349766258,0.00027267696484950966,0.0,0.00390625,-2.051468449922086,0.000818030894548529,0.005022321428571428
dropout_0.5,9,0.7210685502897156,0.8775994186814637,-0.15653086839174826,-0.1945111112776832,-0.12625491022291563,0.7138669399267258,-8.382679458569811,3.114790960340302e-05,0.0,0.00390625,-2.7942264861899373,0.0001401655932153136,0.005022321428571428
motor_core,9,0.7669252401713756,0.8775994186814637,-0.11067417851008811,-0.1556595957149695,-0.07147738577099007,0.5624940489152406,-4.874838499808443,0.0012323904365916841,0.0,0.00390625,-1.6249461666028142,0.002218302785865031,0.005022321428571428
motor_extended,9,0.8281911179057434,0.8775994186814637,-0.04940830077572048,-0.08754216170477008,-0.024379826334144095,0.12490017935214726,-3.0560509878121733,0.015676305887991945,0.0,0.00390625,-1.0186836626040578,0.020155250427418215,0.005022321428571428
region_dropout_0.136364,9,0.8561180001132438,0.8775994186814637,-0.02148141856821993,-0.048677064902313,-0.008278329588267325,0.025279515841738116,-2.185169269315022,0.060373976756303974,4.0,0.02734375,-0.7283897564383407,0.06792072385084197,0.03076171875
region_dropout_0.318182,9,0.7462011399882981,0.8775994186814637,-0.1313982786931657,-0.1509441212056536,-0.1149306616381319,0.44878063100976384,-13.50780252175443,8.658179005131826e-07,0.0,0.00390625,-4.50260084058481,7.792361104618644e-06,0.005022321428571428
