dataset,pipeline,metric,n_subjects,mean_slope_per_10pct_dropout,slope_ci_low,slope_ci_high,slope_sd,t_statistic_vs_zero,t_p_value_vs_zero,shapiro_p_value_slope,n_harmful_slope,pct_harmful_slope,t_p_value_vs_zero_bh_fdr
BNCI2014-001,csp_lda,balanced_accuracy,9,-0.0439939385198006,-0.06015018714306823,-0.027837689896532968,0.021018499112757074,-6.279316846144171,0.00023803945542854134,0.2331010259122236,9,1.0,0.00023803945542854134
BNCI2014-001,csp_lda,brier_score,9,0.05105400858192177,0.041422463077955156,0.06068555408588839,0.012530175497426682,12.223454154909493,1.8624419162222294e-06,0.1783557445103583,9,1.0,3.724883832444459e-06
BNCI2014-001,csp_lda,ece,9,0.052983763590832615,0.046856224722940536,0.059111302458724695,0.007971632107263631,19.939616960956318,4.1718798302972124e-08,0.43893308872622827,9,1.0,1.668751932118885e-07
BNCI2014-001,csp_lda,roc_auc,9,-0.04446910623040231,-0.056536632322112514,-0.032401580138692106,0.0156992685843234,-8.497677326472497,2.820976686814888e-05,0.08212446564100268,9,1.0,3.7613022490865175e-05
