subject,clean_auc,auc_at_50pct_dropout,worst_dropout_delta_auc,clean_working,dropout_failure_at_50pct,best_montage,best_montage_auc,best_montage_gain_vs_clean,risk_level
6,0.63,0.505,-0.139,True,True,motor_extended,0.4599999999999999,-0.1700000000000001,high_drop_failure
8,0.66,0.417,-0.24300000000000005,True,True,motor_extended,0.77,0.10999999999999999,high_drop_failure
11,0.74,0.5479999999999999,-0.19200000000000006,True,True,motor_core,0.47,-0.27,high_drop_failure
15,0.8699999999999999,0.546,-0.32399999999999984,True,True,motor_extended,0.91,0.04000000000000015,high_drop_failure
20,0.7100000000000001,0.579,-0.13100000000000012,True,True,motor_core,0.43,-0.2800000000000001,high_drop_failure
24,0.6300000000000001,0.538,-0.09200000000000008,True,True,motor_extended,0.64,0.009999999999999898,high_drop_failure
27,0.64,0.553,-0.09499999999999997,True,True,motor_extended,0.68,0.040000000000000036,high_drop_failure
33,0.72,0.555,-0.16499999999999992,True,True,motor_core,0.8400000000000001,0.1200000000000001,high_drop_failure
40,0.63,0.452,-0.178,True,True,motor_core,0.54,-0.08999999999999997,high_drop_failure
41,0.64,0.4529999999999999,-0.195,True,True,motor_extended,0.73,0.08999999999999997,high_drop_failure
50,0.65,0.5780000000000001,-0.07199999999999995,True,True,motor_core,0.4799999999999998,-0.1700000000000002,high_drop_failure
51,0.8,0.516,-0.28400000000000003,True,True,motor_core,0.5,-0.30000000000000004,high_drop_failure
61,0.6799999999999999,0.596,-0.08399999999999996,True,True,motor_core,0.85,0.17000000000000004,high_drop_failure
68,0.62,0.537,-0.08299999999999996,True,True,motor_extended,0.6699999999999999,0.04999999999999993,high_drop_failure
71,0.85,0.57,-0.28,True,True,motor_core,0.94,0.08999999999999997,high_drop_failure
75,0.78,0.536,-0.244,True,True,motor_core,0.8300000000000001,0.050000000000000044,high_drop_failure
76,0.6900000000000001,0.5710000000000001,-0.119,True,True,motor_extended,0.7,0.009999999999999898,high_drop_failure
80,0.64,0.546,-0.09599999999999997,True,True,motor_core,0.63,-0.010000000000000009,high_drop_failure
81,0.85,0.598,-0.252,True,True,motor_core,0.73,-0.12,high_drop_failure
82,0.76,0.5820000000000001,-0.17799999999999994,True,True,motor_core,0.71,-0.050000000000000044,high_drop_failure
84,0.67,0.579,-0.11399999999999999,True,True,motor_core,0.73,0.05999999999999994,high_drop_failure
86,0.8,0.437,-0.36300000000000004,True,True,motor_extended,0.6799999999999999,-0.1200000000000001,high_drop_failure
89,0.6900000000000001,0.564,-0.1260000000000001,True,True,motor_core,0.79,0.09999999999999998,high_drop_failure
92,0.7088888888888889,0.5473333333333333,-0.16155555555555556,True,True,motor_extended,0.8400000000000001,0.13111111111111118,high_drop_failure
