dataset,subject,pipeline,stressor,montage,fold,dropout_fraction,repeat,n_channels,n_dropped_channels,balanced_accuracy,roc_auc,brier_score,ece,selected_channels,region,dropped_channels,session_train,session_test
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.5,2,22,11,0.5,0.8596908442330559,0.49912391886388624,0.49943252285983053,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.5,3,22,11,0.5689655172413793,0.8751486325802617,0.23918320104857066,0.30301853917504207,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.5,4,22,11,0.5,0.8549346016646848,0.43215692923183513,0.44893420031542297,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.5,5,22,11,0.5,0.7170035671819263,0.4913582398327257,0.49269916316998486,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.5,6,22,11,0.5,0.887039239001189,0.4991733960013984,0.4994898846854039,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.5,7,22,11,0.5,0.699167657550535,0.45902046982151,0.46289089427029007,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.5,8,22,11,0.5,0.7479191438763377,0.49962059312001733,0.4997042338849519,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,1,0.5,9,22,11,0.5,0.8596908442330559,0.4999671684162171,0.49997789762911404,,,,,
BNCI2014-001,1,riemann_lr,clean,all_channels,2,0.0,0,22,0,0.9310344827586208,0.9881093935790726,0.06538858167882297,0.11441587866380802,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.1,0,22,2,0.7413793103448276,0.9797859690844233,0.14584113798243992,0.18999403867597228,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.1,1,22,2,0.6206896551724138,0.9785969084423305,0.28735758536757294,0.345446915846039,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.1,2,22,2,0.6379310344827587,0.9571938168846611,0.20009203644807377,0.263747862956594,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.1,3,22,2,0.5689655172413793,0.9916765755053507,0.3344141840833071,0.3898109014991911,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.1,4,22,2,0.5,0.9797859690844233,0.4596720520658896,0.47788571754994696,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.1,5,22,2,0.5,0.9488703923900119,0.49971095134970567,0.49983800630472974,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.1,6,22,2,0.6724137931034483,0.9833531510107015,0.22123763328910154,0.286107937670521,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.1,7,22,2,0.9310344827586208,0.9928656361474435,0.07408120179135305,0.1510916384253478,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.1,8,22,2,0.8620689655172413,0.9845422116527942,0.09590218642198736,0.15181656250751377,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.1,9,22,2,0.8275862068965517,0.9762187871581451,0.12418453584113463,0.18427595704185257,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.2,0,22,4,0.5,0.9678953626634959,0.33588007512688006,0.37925870306847353,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.2,1,22,4,0.5,0.9453032104637336,0.4992012897125027,0.4995412293076422,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.2,2,22,4,0.5,0.9453032104637336,0.4333474708868602,0.45937493277891955,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.2,3,22,4,0.5,0.9643281807372176,0.45559934190828266,0.47539288217209213,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.2,4,22,4,0.5517241379310345,0.9892984542211652,0.30286474198618935,0.3622299226711656,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.2,5,22,4,0.7586206896551724,0.9464922711058265,0.16033842530357226,0.20136020134842322,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.2,6,22,4,0.6724137931034483,0.9655172413793104,0.17715598463052148,0.2571684318646894,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.2,7,22,4,0.5,0.9655172413793103,0.49485180519931055,0.4972088368325045,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.2,8,22,4,0.7931034482758621,0.9036860879904876,0.16525554381173338,0.18119447421238993,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.2,9,22,4,0.5172413793103449,0.9678953626634959,0.3581520929110022,0.40733302837691193,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.3,0,22,7,0.5,0.9429250891795482,0.3590024878800465,0.3957198087402878,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.3,1,22,7,0.5,0.920332936979786,0.43041731327790544,0.4560366728486056,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.3,2,22,7,0.5,0.9131985731272295,0.45036632515024455,0.4653307524152718,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.3,3,22,7,0.5,0.9797859690844233,0.39377172809973654,0.43076012919271967,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.3,4,22,7,0.5517241379310345,0.8204518430439952,0.2373201844397365,0.22235458562775445,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.3,5,22,7,0.5,0.9619500594530321,0.41038243918412126,0.4426582968940639,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.3,6,22,7,0.5,0.9750297265160522,0.47344186305465874,0.48313657949602207,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.3,7,22,7,0.5,0.9595719381688466,0.46661711494607594,0.4794194900289163,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.3,8,22,7,0.603448275862069,0.9607609988109393,0.24028413196814088,0.30442274334505637,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.3,9,22,7,0.5,0.9048751486325802,0.3247735875972537,0.36165698362624044,,,,,
BNCI2014-001,1,riemann_lr,channel_dropout,all_channels,2,0.5,0,22,11,0.5,0.920332936979786,0.4836838221879653,0.4885499933627485,,,,,
