condition,n_subjects,mean_condition_auc,mean_clean_auc,mean_delta_auc,delta_ci_low,delta_ci_high,shapiro_p,paired_t_stat,paired_t_p,wilcoxon_stat,wilcoxon_p,cohens_dz,paired_t_p_bh_fdr,wilcoxon_p_bh_fdr
dropout_0.1,109,0.6396388888888888,0.6754026503567789,-0.035763761467889905,-0.042647832136863115,-0.029606902423493127,0.7161430886885843,-10.571293635469882,2.332424937705795e-18,440.5,1.711042435536558e-14,-1.0125462912844116,5.247956109838039e-18,3.849845479957256e-14
dropout_0.2,109,0.6088063200815496,0.6754026503567789,-0.06659633027522936,-0.07710587782287509,-0.05558942727540947,0.3339924425608004,-12.014987088567246,1.2542565732189808e-21,352.0,1.9912237636248992e-15,-1.1508270450022462,6.105518458827065e-21,8.960506936312048e-15
dropout_0.3,109,0.5903761467889909,0.6754026503567789,-0.08502650356778799,-0.09811950644456469,-0.07098315778947377,0.4388851221419018,-11.99980976004097,1.3567818797393478e-21,323.5,9.810928249423834e-16,-1.1493733205820558,6.105518458827065e-21,8.829835424481451e-15
dropout_0.5,109,0.556894240570846,0.6754026503567789,-0.11850840978593274,-0.13775006477638888,-0.09784459512329033,0.1724701168831561,-11.515132612781809,1.6808450705758845e-20,389.5,3.1542366150157015e-15,-1.102949669432973,5.0425352117276534e-20,9.462709845047105e-15
motor_core,109,0.6391641182466871,0.6754026503567789,-0.03623853211009175,-0.06297703485948308,-0.010030574120866664,0.3693115937602913,-2.5927975335396667,0.0108379520192948,2105.5,0.010252218148684529,-0.24834496298808623,0.01219269602170665,0.011533745417270095
motor_extended,109,0.6768705402650357,0.6754026503567789,0.001467889908256877,-0.02589104174026495,0.027762189053037734,0.19386459879436158,0.10366034430668952,0.9176311471225809,2509.5,0.5793174051289806,0.009928860251202197,0.9176311471225809,0.5793174051289806
region_dropout_left_motor_strip_0.140625,109,0.6362181447502547,0.6754026503567789,-0.039184505606523944,-0.0526372881810425,-0.026767280022388377,0.23996876466183364,-6.082603363019192,1.8250777182379773e-08,1064.5,1.8333578680903575e-07,-0.5826077383674355,2.737616577356966e-08,2.7500368021355365e-07
region_dropout_midline_motor_strip_0.046875,109,0.6625815494393476,0.6754026503567789,-0.012821100917431197,-0.019793393156555098,-0.006380996587772216,0.003981760448794573,-3.7868890588909676,0.00025114370984017915,1191.0,0.0003527415642420699,-0.3627181879822157,0.00032289905550880174,0.0004535248683112327
region_dropout_right_motor_strip_0.140625,109,0.6275433231396536,0.6754026503567789,-0.0478593272171254,-0.06269164665170542,-0.034563905726984,0.20322981965234194,-6.673530611488373,1.1097429827403575e-09,936.0,5.942731361086503e-09,-0.6392083034911548,1.9975373689326435e-09,1.0696916449955705e-08
