dataset,pipeline,subject,metric,n_conditions,slope_per_100pct_dropout,slope_per_10pct_dropout,intercept,r_value,p_value_subject_slope
BNCI2014-001,csp_lda,1,roc_auc,5,-0.5093940381693056,-0.050939403816930566,0.8879046364183105,-0.9087875890820799,0.03261232965799672
BNCI2014-001,csp_lda,1,balanced_accuracy,5,-0.5383554120623087,-0.05383554120623088,0.7150810477965651,-0.7054123410457226,0.18321747082344633
BNCI2014-001,csp_lda,1,brier_score,5,0.5476606591288431,0.05476606591288431,0.24543707885388943,0.711232271506168,0.17798674495719688
BNCI2014-001,csp_lda,1,ece,5,0.5281060239781367,0.05281060239781367,0.2514637628324203,0.6968890836650302,0.19095510411858854
BNCI2014-001,csp_lda,2,roc_auc,5,-0.23469061468466954,-0.023469061468466956,0.5733039243592156,-0.7761554267883487,0.12277374366342916
BNCI2014-001,csp_lda,2,balanced_accuracy,5,-0.1343695912661431,-0.01343695912661431,0.5464332312608174,-0.6882704666683195,0.19887069841389712
BNCI2014-001,csp_lda,2,brier_score,5,0.3145559622984615,0.03145559622984615,0.3418066042515509,0.6757733513273941,0.2105072537636953
BNCI2014-001,csp_lda,2,ece,5,0.40554243554970687,0.04055424355497069,0.2971432257772334,0.6723023067909448,0.21377189759480833
BNCI2014-001,csp_lda,3,roc_auc,5,-0.4273378355423541,-0.04273378355423541,0.9895183156657593,-0.9979850025232277,0.0001085461211054789
BNCI2014-001,csp_lda,3,balanced_accuracy,5,-0.6899097989615232,-0.06899097989615231,0.7774772001065104,-0.7030940884597368,0.18531301859593058
BNCI2014-001,csp_lda,3,brier_score,5,0.666131476002419,0.0666131476002419,0.2074212916191088,0.7056649098607773,0.1829895758281274
BNCI2014-001,csp_lda,3,ece,5,0.6407877909503777,0.06407877909503777,0.2242274044264261,0.6873603786687477,0.19971182556112
BNCI2014-001,csp_lda,4,roc_auc,5,-0.43380834546113967,-0.04338083454611397,0.7744144794531238,-0.8193524527283641,0.08962911592052104
BNCI2014-001,csp_lda,4,balanced_accuracy,5,-0.4159066702170151,-0.04159066702170151,0.6536300093196644,-0.671628880523419,0.21440689728094897
BNCI2014-001,csp_lda,4,brier_score,5,0.5252911843577545,0.05252911843577545,0.29513499882500976,0.7121249200295909,0.1771883089713302
BNCI2014-001,csp_lda,4,ece,5,0.565726445598781,0.05657264455987811,0.28067236423561553,0.7096210221587741,0.17943053554429808
BNCI2014-001,csp_lda,5,roc_auc,5,-0.14261772389001878,-0.014261772389001878,0.5634107217460368,-0.7320593605221043,0.15963086167289217
BNCI2014-001,csp_lda,5,balanced_accuracy,5,-0.08569098655305543,-0.008569098655305543,0.532004726401278,-0.6434359340208071,0.24144938806546618
BNCI2014-001,csp_lda,5,brier_score,5,0.3057709377158152,0.03057709377158152,0.36128284000491656,0.6632147617873347,0.2223847167546877
BNCI2014-001,csp_lda,5,ece,5,0.3950622876631899,0.03950622876631899,0.3251641902009701,0.6547296545080896,0.2305107356445441
BNCI2014-001,csp_lda,6,roc_auc,5,-0.42771211418654964,-0.04277121141865497,0.7501393014383503,-0.8559782900060363,0.06417470572652968
BNCI2014-001,csp_lda,6,balanced_accuracy,5,-0.3462688057515645,-0.03462688057515645,0.6357505658367728,-0.6757711955816738,0.21050927697026714
BNCI2014-001,csp_lda,6,brier_score,5,0.4236030463482477,0.04236030463482477,0.2843214591075913,0.7228291935509152,0.16769471086806031
BNCI2014-001,csp_lda,6,ece,5,0.45333115625884757,0.04533311562588476,0.26464475084253947,0.6996876775311276,0.18840445221009927
BNCI2014-001,csp_lda,7,roc_auc,5,-0.6009126843847414,-0.06009126843847415,0.8758126471979029,-0.9182410814844402,0.02771644431434599
BNCI2014-001,csp_lda,7,balanced_accuracy,5,-0.521084076687525,-0.0521084076687525,0.7030596791372653,-0.6977222450807173,0.1901947403796313
BNCI2014-001,csp_lda,7,brier_score,5,0.561621673747864,0.0561621673747864,0.2506701546754784,0.7034491806367772,0.18499159873906298
BNCI2014-001,csp_lda,7,ece,5,0.529076828953016,0.0529076828953016,0.25956383184868653,0.6918208581994117,0.1955989220181401
BNCI2014-001,csp_lda,8,roc_auc,5,-0.5148272189294778,-0.05148272189294778,0.9501684770382748,-0.9250403932173963,0.024357371403455612
BNCI2014-001,csp_lda,8,balanced_accuracy,5,-0.7222823192650776,-0.07222823192650776,0.7818208294501398,-0.7104267339407039,0.1787081451020157
BNCI2014-001,csp_lda,8,brier_score,5,0.6901943286659333,0.06901943286659333,0.20825059920278965,0.7011723487713267,0.18705527563618257
BNCI2014-001,csp_lda,8,ece,5,0.6641797709969738,0.06641797709969738,0.2218028571762731,0.6930719857064959,0.19444963250722036
BNCI2014-001,csp_lda,9,roc_auc,5,-0.5794145597950588,-0.05794145597950589,0.8749724771484582,-0.9426079120722999,0.016362038269153913
BNCI2014-001,csp_lda,9,balanced_accuracy,5,-0.5481011183597392,-0.054810111835973924,0.724099487418453,-0.7861317505202561,0.11484329237852924
BNCI2014-001,csp_lda,9,brier_score,5,0.5974006970259813,0.05974006970259813,0.2266787599115006,0.8088157797078168,0.09741993134340328
BNCI2014-001,csp_lda,9,ece,5,0.595637042290157,0.059563704229015704,0.23182638787803783,0.7820595259089694,0.11806124461988425
