dataset,subject,pipeline,stressor,montage,dropout_fraction,region,roc_auc,balanced_accuracy,brier_score,ece,n_channels,n_dropped_channels
PhysionetMotorImagery,5,riemann_lr,channel_dropout,all_channels,0.2,,0.389,0.49200000000000005,0.35024479096289673,0.3380213939840396,64,13.0
PhysionetMotorImagery,5,riemann_lr,channel_dropout,all_channels,0.3,,0.414,0.5075,0.3552231536602971,0.3394067965451024,64,19.0
PhysionetMotorImagery,5,riemann_lr,channel_dropout,all_channels,0.5,,0.433,0.498,0.36813383109733727,0.3479335578231729,64,32.0
PhysionetMotorImagery,5,riemann_lr,clean,all_channels,0.0,,0.4,0.41500000000000004,0.29259433438834476,0.30864411598266345,64,0.0
PhysionetMotorImagery,5,riemann_lr,reduced_montage,motor_core,0.0,,0.5599999999999999,0.525,0.24554738634881063,0.10981301821615364,3,0.0
PhysionetMotorImagery,5,riemann_lr,reduced_montage,motor_extended,0.0,,0.5599999999999999,0.505,0.24784958668967644,0.2485728191850804,9,0.0
PhysionetMotorImagery,5,riemann_lr,region_dropout,all_channels,0.046875,midline_motor_strip,0.35,0.515,0.3093217272517684,0.2914639814662805,64,3.0
PhysionetMotorImagery,5,riemann_lr,region_dropout,all_channels,0.140625,left_motor_strip,0.35,0.41,0.30223156588169253,0.2950057751816496,64,9.0
PhysionetMotorImagery,5,riemann_lr,region_dropout,all_channels,0.140625,right_motor_strip,0.44000000000000006,0.49000000000000005,0.29505362382961103,0.34384774959219216,64,9.0
PhysionetMotorImagery,6,riemann_lr,channel_dropout,all_channels,0.1,,0.53,0.5015,0.3198938958641458,0.3210634695306211,64,6.0
PhysionetMotorImagery,6,riemann_lr,channel_dropout,all_channels,0.2,,0.491,0.4915,0.3233994464257278,0.30528558776370757,64,13.0
PhysionetMotorImagery,6,riemann_lr,channel_dropout,all_channels,0.3,,0.518,0.494,0.3170586233000229,0.29938658097084225,64,19.0
PhysionetMotorImagery,6,riemann_lr,channel_dropout,all_channels,0.5,,0.505,0.47700000000000004,0.33624164351283914,0.30302542225065554,64,32.0
PhysionetMotorImagery,6,riemann_lr,clean,all_channels,0.0,,0.63,0.5650000000000001,0.24368196715433016,0.2662409636405616,64,0.0
PhysionetMotorImagery,6,riemann_lr,reduced_montage,motor_core,0.0,,0.42000000000000004,0.47000000000000003,0.2578588198789244,0.07188056667934876,3,0.0
PhysionetMotorImagery,6,riemann_lr,reduced_montage,motor_extended,0.0,,0.45999999999999996,0.4600000000000001,0.2636670485002989,0.20454040497762027,9,0.0
PhysionetMotorImagery,6,riemann_lr,region_dropout,all_channels,0.046875,midline_motor_strip,0.5599999999999999,0.525,0.2602476542896504,0.2092724899270945,64,3.0
PhysionetMotorImagery,6,riemann_lr,region_dropout,all_channels,0.140625,left_motor_strip,0.5,0.47000000000000003,0.28507102365176235,0.23326675737400623,64,9.0
PhysionetMotorImagery,6,riemann_lr,region_dropout,all_channels,0.140625,right_motor_strip,0.49000000000000005,0.5,0.3360364358282252,0.3371044125189721,64,9.0
PhysionetMotorImagery,7,riemann_lr,channel_dropout,all_channels,0.1,,0.997,0.7265,0.1708799306601511,0.3183467115171091,64,6.0
PhysionetMotorImagery,7,riemann_lr,channel_dropout,all_channels,0.2,,0.9740000000000001,0.6515000000000001,0.22799244736851168,0.3497935131000743,64,13.0
PhysionetMotorImagery,7,riemann_lr,channel_dropout,all_channels,0.3,,0.968,0.593,0.27620340893660306,0.3660267119882249,64,19.0
PhysionetMotorImagery,7,riemann_lr,channel_dropout,all_channels,0.5,,0.831,0.5215,0.3289324275649135,0.35249549538242164,64,32.0
PhysionetMotorImagery,7,riemann_lr,clean,all_channels,0.0,,1.0,1.0,0.05446749012689994,0.20680818189214517,64,0.0
PhysionetMotorImagery,7,riemann_lr,reduced_montage,motor_core,0.0,,0.96,0.845,0.11963197490310348,0.2765859774069936,3,0.0
PhysionetMotorImagery,7,riemann_lr,reduced_montage,motor_extended,0.0,,1.0,0.93,0.07095949181272194,0.22587811892479986,9,0.0
PhysionetMotorImagery,7,riemann_lr,region_dropout,all_channels,0.046875,midline_motor_strip,1.0,0.905,0.09603003679818704,0.25057754174426183,64,3.0
PhysionetMotorImagery,7,riemann_lr,region_dropout,all_channels,0.140625,left_motor_strip,1.0,0.5,0.3118691531504171,0.40699591932538315,64,9.0
PhysionetMotorImagery,7,riemann_lr,region_dropout,all_channels,0.140625,right_motor_strip,0.9800000000000001,0.5,0.38564514139762185,0.4280352864528627,64,9.0
PhysionetMotorImagery,8,riemann_lr,channel_dropout,all_channels,0.1,,0.539,0.5005,0.3315991154651088,0.33576789280607217,64,6.0
PhysionetMotorImagery,8,riemann_lr,channel_dropout,all_channels,0.2,,0.46799999999999997,0.48950000000000005,0.34972874387407765,0.33611887573057325,64,13.0
PhysionetMotorImagery,8,riemann_lr,channel_dropout,all_channels,0.3,,0.47600000000000003,0.489,0.3569759933100552,0.33922730891687436,64,19.0
PhysionetMotorImagery,8,riemann_lr,channel_dropout,all_channels,0.5,,0.41700000000000004,0.486,0.39997991849960585,0.3786243212147547,64,32.0
PhysionetMotorImagery,8,riemann_lr,clean,all_channels,0.0,,0.66,0.62,0.2606153073495491,0.28571967650753816,64,0.0
PhysionetMotorImagery,8,riemann_lr,reduced_montage,motor_core,0.0,,0.67,0.585,0.2385171333838804,0.1555230596505386,3,0.0
PhysionetMotorImagery,8,riemann_lr,reduced_montage,motor_extended,0.0,,0.77,0.7350000000000001,0.2096315501725742,0.2244890500143331,9,0.0
PhysionetMotorImagery,8,riemann_lr,region_dropout,all_channels,0.046875,midline_motor_strip,0.62,0.51,0.2986582934105516,0.3323468208932786,64,3.0
PhysionetMotorImagery,8,riemann_lr,region_dropout,all_channels,0.140625,left_motor_strip,0.58,0.5,0.33262191345208086,0.304625698746739,64,9.0
PhysionetMotorImagery,8,riemann_lr,region_dropout,all_channels,0.140625,right_motor_strip,0.52,0.525,0.3263129596644988,0.32219645009671055,64,9.0
PhysionetMotorImagery,9,riemann_lr,channel_dropout,all_channels,0.1,,0.43799999999999994,0.4915,0.368094620421039,0.3621261841620672,64,6.0
PhysionetMotorImagery,9,riemann_lr,channel_dropout,all_channels,0.2,,0.43,0.496,0.4096521533332057,0.40300145234811885,64,13.0
PhysionetMotorImagery,9,riemann_lr,channel_dropout,all_channels,0.3,,0.42700000000000005,0.502,0.4179068769870779,0.41177244035065774,64,19.0
PhysionetMotorImagery,9,riemann_lr,channel_dropout,all_channels,0.5,,0.44299999999999995,0.502,0.42728062414358164,0.4225966698927752,64,32.0
