condition,n_subjects,mean_condition_auc,mean_clean_auc,mean_delta_auc,delta_ci_low,delta_ci_high,shapiro_p,paired_t_stat,paired_t_p,wilcoxon_stat,wilcoxon_p,cohens_dz,paired_t_p_bh_fdr,wilcoxon_p_bh_fdr
dropout_0.1,109,0.5897959989806318,0.6549999999999999,-0.06520400101936799,-0.08028828113765,-0.05012111685315417,0.9737301414298158,-8.4649682437345,1.390353945177939e-13,750.0,1.0847198929633675e-11,-0.810796908741123,3.128296376650363e-13,2.440619759167577e-11
dropout_0.2,109,0.5532094801223241,0.6549999999999999,-0.10179051987767583,-0.12281129432938534,-0.08097073909498653,0.6120544708668827,-9.430542976805386,9.196138651135948e-16,619.0,6.441148179821183e-13,-0.9032821947091921,2.7588415953407845e-15,1.932344453946355e-12
dropout_0.3,109,0.5432721712538227,0.6549999999999999,-0.1117278287461774,-0.13426401202682892,-0.08853328550158197,0.4800078285107525,-9.582665311892598,4.149907574970837e-16,586.0,3.086081461746092e-13,-0.9178528718207675,1.8674584087368768e-15,1.3887366577857415e-12
dropout_0.5,109,0.5273112895005097,0.6549999999999999,-0.12768871049949035,-0.15289283208919224,-0.10260314291563405,0.43799347670105104,-9.85596784210998,9.917796609598101e-17,568.0,2.0576379692441396e-13,-0.9440305065467329,8.926016948638292e-16,1.3887366577857415e-12
motor_core,109,0.6482925586136596,0.6549999999999999,-0.006707441386340476,-0.03296135670984667,0.021513245497378826,0.8705301693472692,-0.4758854780558884,0.635117190947908,2637.0,0.5315164423424357,-0.04558156196369633,0.635117190947908,0.5315164423424357
motor_extended,109,0.6686544342507645,0.6549999999999999,0.013654434250764522,-0.011858157315057311,0.0411926605504587,0.2522556220853942,1.0110495338038108,0.3142525206842757,2373.0,0.19044768385188138,0.09684098191378811,0.3535340857698102,0.21425364433336655
region_dropout_left_motor_strip_0.140625,109,0.5973521916411826,0.6549999999999999,-0.057647808358817526,-0.07671546821245535,-0.03874981221557693,0.15939535364915813,-5.893860490762354,4.358942250568714e-08,1150.0,4.970146412176467e-07,-0.5645294499478618,7.846096051023685e-08,7.455219618264701e-07
region_dropout_midline_motor_strip_0.046875,109,0.6066106014271152,0.6549999999999999,-0.04838939857288481,-0.06503830499877936,-0.03173483560374896,0.48092150546701984,-5.580858326035708,1.7945624273514558e-07,1095.0,1.9029223586010653e-07,-0.5345492798772316,2.691843641027184e-07,3.4252602454819174e-07
region_dropout_right_motor_strip_0.140625,109,0.5936162079510703,0.6549999999999999,-0.06138379204892968,-0.08431878927646816,-0.040792975042450226,0.08965750077605973,-5.541742349264726,2.1360263811413943e-07,1223.0,1.6913442666335189e-06,-0.5308026488048969,2.746319632896078e-07,2.174585485671667e-06
