subject,clean_auc,clean_bal,auc_dropout_0.1,bal_dropout_0.1,auc_dropout_0.2,bal_dropout_0.2,auc_dropout_0.3,bal_dropout_0.3,auc_dropout_0.5,bal_dropout_0.5,auc_motor_core,bal_motor_core,auc_motor_extended,bal_motor_extended
87,0.41,0.5,0.435,0.4755,0.456,0.496,0.4529999999999999,0.4975,0.492,0.4975,0.42,0.48,0.53,0.5650000000000001
88,0.47,0.4033333333333333,0.435,0.5013333333333333,0.4014444444444444,0.499,0.3958888888888889,0.4803333333333333,0.382111111111111,0.488,0.6088888888888888,0.6233333333333333,0.5055555555555555,0.5233333333333333
89,0.6900000000000001,0.6950000000000001,0.647,0.5075,0.615,0.502,0.585,0.5,0.564,0.5,0.79,0.62,0.7,0.6799999999999999
90,0.58,0.595,0.611,0.5155,0.5579999999999999,0.541,0.545,0.521,0.57,0.511,0.55,0.5,0.6799999999999999,0.62
91,0.5700000000000001,0.51,0.462,0.5195000000000001,0.437,0.5065,0.431,0.506,0.411,0.4915,0.5,0.54,0.6300000000000001,0.605
92,0.7088888888888889,0.6433333333333333,0.66,0.5716666666666667,0.6321111111111111,0.5286666666666666,0.5996666666666667,0.5056666666666666,0.5473333333333333,0.5056666666666666,0.67,0.6100000000000001,0.8400000000000001,0.7633333333333334
93,0.92,0.8099999999999999,0.845,0.5710000000000001,0.7560000000000001,0.511,0.748,0.52,0.7260000000000001,0.5,0.89,0.805,0.95,0.8099999999999999
94,0.96,0.8949999999999999,0.857,0.643,0.753,0.565,0.737,0.539,0.674,0.516,0.91,0.835,0.96,0.905
95,0.43,0.445,0.411,0.475,0.434,0.48,0.421,0.4755,0.46,0.4925,0.6599999999999999,0.61,0.5,0.51
96,0.86,0.745,0.804,0.604,0.772,0.5805,0.716,0.563,0.653,0.5375,0.4899999999999999,0.4049999999999999,0.5599999999999999,0.4549999999999999
97,0.76,0.735,0.736,0.54,0.711,0.5,0.6859999999999999,0.5,0.687,0.5,0.74,0.6950000000000001,0.76,0.68
98,0.42,0.48,0.437,0.461,0.416,0.475,0.423,0.481,0.393,0.4895,0.53,0.5,0.69,0.665
99,0.56,0.58,0.55,0.513,0.5529999999999999,0.4975,0.5630000000000001,0.5165,0.5660000000000001,0.51,0.45,0.495,0.3299999999999999,0.425
100,0.5375,0.475,0.51375,0.5091666666666667,0.5016666666666666,0.5066666666666666,0.5241666666666667,0.4983333333333333,0.5220833333333333,0.5108333333333334,0.2125,0.225,0.3833333333333333,0.4166666666666666
101,0.3,0.395,0.315,0.433,0.327,0.4785,0.308,0.492,0.337,0.4915,0.51,0.445,0.45,0.47
102,0.76,0.74,0.75,0.5575,0.722,0.5365,0.723,0.5025,0.652,0.5135000000000001,0.74,0.7150000000000001,0.85,0.8
103,0.6599999999999999,0.6,0.634,0.539,0.5670000000000001,0.5125,0.5379999999999999,0.4975,0.45,0.5055,0.48,0.435,0.55,0.45
104,0.5625,0.525,0.45625,0.491,0.42475,0.4785,0.3779999999999999,0.4735,0.3445,0.482,0.5275000000000001,0.445,0.55,0.52
105,0.8699999999999999,0.755,0.741,0.5885,0.6659999999999999,0.5355,0.6030000000000001,0.4965,0.5479999999999999,0.504,0.6900000000000001,0.5900000000000001,0.79,0.66
106,0.41,0.495,0.3779999999999999,0.49,0.442,0.49,0.434,0.4875,0.471,0.5045000000000001,0.5900000000000001,0.575,0.5599999999999999,0.49
107,0.62,0.575,0.569,0.5285,0.528,0.5155,0.512,0.513,0.3969999999999999,0.5075,0.47,0.49,0.4599999999999999,0.505
108,0.93,0.8699999999999999,0.88,0.6415000000000001,0.804,0.5770000000000001,0.7909999999999999,0.5655,0.7410000000000001,0.527,0.77,0.65,0.91,0.85
109,0.38,0.4599999999999999,0.397,0.4805,0.414,0.48,0.42,0.4915,0.47,0.506,0.39,0.4349999999999999,0.2799999999999999,0.36
