subject,condition,roc_auc_csp,roc_auc_riemann,clean_auc_csp,clean_auc_riemann,change_csp,change_riemann,difference_in_degradation_csp_minus_riemann
1,dropout_0.1,0.598,0.867,0.8099999999999999,0.92,-0.21199999999999997,-0.05300000000000005,-0.15899999999999992
1,dropout_0.2,0.5335,0.809,0.8099999999999999,0.92,-0.27649999999999997,-0.11099999999999999,-0.16549999999999998
1,dropout_0.3,0.535,0.757,0.8099999999999999,0.92,-0.2749999999999999,-0.16300000000000003,-0.11199999999999988
1,dropout_0.5,0.578,0.688,0.8099999999999999,0.92,-0.23199999999999998,-0.2320000000000001,1.1102230246251565e-16
1,motor_core,0.85,0.8,0.8099999999999999,0.92,0.040000000000000036,-0.12,0.16000000000000003
1,motor_extended,0.94,0.92,0.8099999999999999,0.92,0.13,0.0,0.13
1,region_midline_motor_strip,0.86,0.8800000000000001,0.8099999999999999,0.92,0.050000000000000044,-0.039999999999999925,0.08999999999999997
1,region_left_motor_strip,0.6,0.8,0.8099999999999999,0.92,-0.20999999999999996,-0.12,-0.08999999999999997
1,region_right_motor_strip,0.5900000000000001,0.86,0.8099999999999999,0.92,-0.21999999999999986,-0.06000000000000005,-0.1599999999999998
2,dropout_0.1,0.7434999999999999,0.862,0.95,0.93,-0.20650000000000002,-0.06800000000000006,-0.13849999999999996
2,dropout_0.2,0.6945,0.802,0.95,0.93,-0.25549999999999995,-0.128,-0.12749999999999995
2,dropout_0.3,0.611,0.755,0.95,0.93,-0.33899999999999997,-0.17500000000000004,-0.16399999999999992
2,dropout_0.5,0.61,0.6629999999999999,0.95,0.93,-0.33999999999999997,-0.2670000000000001,-0.07299999999999984
2,motor_core,0.65,0.6799999999999999,0.95,0.93,-0.29999999999999993,-0.2500000000000001,-0.04999999999999982
2,motor_extended,0.91,0.91,0.95,0.93,-0.039999999999999925,-0.020000000000000018,-0.019999999999999907
2,region_midline_motor_strip,0.93,0.8800000000000001,0.95,0.93,-0.019999999999999907,-0.04999999999999993,0.030000000000000027
2,region_left_motor_strip,0.82,0.8400000000000001,0.95,0.93,-0.13,-0.08999999999999997,-0.040000000000000036
2,region_right_motor_strip,0.5900000000000001,0.78,0.95,0.93,-0.3599999999999999,-0.15000000000000002,-0.20999999999999985
3,dropout_0.1,0.483,0.562,0.5700000000000001,0.5900000000000001,-0.08700000000000008,-0.028000000000000025,-0.05900000000000005
3,dropout_0.2,0.5555,0.52,0.5700000000000001,0.5900000000000001,-0.014500000000000068,-0.07000000000000006,0.055499999999999994
3,dropout_0.3,0.493,0.506,0.5700000000000001,0.5900000000000001,-0.07700000000000007,-0.08400000000000007,0.007000000000000006
3,dropout_0.5,0.5075,0.462,0.5700000000000001,0.5900000000000001,-0.06250000000000011,-0.12800000000000006,0.06549999999999995
3,motor_core,0.4599999999999999,0.4599999999999999,0.5700000000000001,0.5900000000000001,-0.11000000000000015,-0.13000000000000017,0.020000000000000018
3,motor_extended,0.5199999999999999,0.5,0.5700000000000001,0.5900000000000001,-0.050000000000000155,-0.09000000000000008,0.039999999999999925
3,region_midline_motor_strip,0.47,0.5900000000000001,0.5700000000000001,0.5900000000000001,-0.10000000000000009,0.0,-0.10000000000000009
3,region_left_motor_strip,0.68,0.5599999999999999,0.5700000000000001,0.5900000000000001,0.10999999999999999,-0.030000000000000138,0.14000000000000012
3,region_right_motor_strip,0.5399999999999999,0.54,0.5700000000000001,0.5900000000000001,-0.030000000000000138,-0.050000000000000044,0.019999999999999907
4,dropout_0.1,0.5529999999999999,0.759,0.6599999999999999,0.8099999999999999,-0.10699999999999998,-0.050999999999999934,-0.05600000000000005
