dataset,subject,pipeline,stressor,montage,dropout_fraction,roc_auc,balanced_accuracy,brier_score,ece,n_channels,n_dropped_channels
PhysionetMotorImagery,5,riemann_lr,region_dropout,all_channels,0.046875,0.35,0.515,0.3093217272517685,0.2914639814662808,64,3.0
PhysionetMotorImagery,5,riemann_lr,region_dropout,all_channels,0.140625,0.395,0.45,0.2986425948556526,0.3194267623869193,64,9.0
PhysionetMotorImagery,6,riemann_lr,channel_dropout,all_channels,0.1,0.53,0.5015,0.3198938958641456,0.3210634695306203,64,6.0
PhysionetMotorImagery,6,riemann_lr,channel_dropout,all_channels,0.2,0.491,0.4915,0.3233994464257219,0.3052855877637064,64,13.0
PhysionetMotorImagery,6,riemann_lr,channel_dropout,all_channels,0.3,0.518,0.494,0.3170586233000209,0.2993865809708363,64,19.0
PhysionetMotorImagery,6,riemann_lr,channel_dropout,all_channels,0.5,0.505,0.477,0.3362416435128366,0.3030254222506631,64,32.0
PhysionetMotorImagery,6,riemann_lr,clean,all_channels,0.0,0.63,0.5650000000000001,0.2436819671543297,0.2662409636405615,64,0.0
PhysionetMotorImagery,6,riemann_lr,reduced_montage,motor_core,0.0,0.42,0.47,0.2578588198789244,0.0718805666793486,3,0.0
PhysionetMotorImagery,6,riemann_lr,reduced_montage,motor_extended,0.0,0.4599999999999999,0.4600000000000001,0.2636670485002986,0.20454040497762,9,0.0
PhysionetMotorImagery,6,riemann_lr,region_dropout,all_channels,0.046875,0.5599999999999999,0.525,0.2602476542896484,0.2092724899270917,64,3.0
PhysionetMotorImagery,6,riemann_lr,region_dropout,all_channels,0.140625,0.495,0.485,0.3105537297399896,0.2851855849464869,64,9.0
PhysionetMotorImagery,7,riemann_lr,channel_dropout,all_channels,0.1,0.997,0.7265,0.1708799306601543,0.3183467115171114,64,6.0
PhysionetMotorImagery,7,riemann_lr,channel_dropout,all_channels,0.2,0.974,0.6515000000000001,0.2279924473685194,0.3497935131000833,64,13.0
PhysionetMotorImagery,7,riemann_lr,channel_dropout,all_channels,0.3,0.968,0.593,0.2762034089365902,0.3660267119882127,64,19.0
PhysionetMotorImagery,7,riemann_lr,channel_dropout,all_channels,0.5,0.831,0.5215,0.3289324275649213,0.3524954953824336,64,32.0
PhysionetMotorImagery,7,riemann_lr,clean,all_channels,0.0,1.0,1.0,0.0544674901268998,0.2068081818921451,64,0.0
PhysionetMotorImagery,7,riemann_lr,reduced_montage,motor_core,0.0,0.96,0.845,0.1196319749031034,0.2765859774069935,3,0.0
PhysionetMotorImagery,7,riemann_lr,reduced_montage,motor_extended,0.0,1.0,0.93,0.0709594918127215,0.2258781189247993,9,0.0
PhysionetMotorImagery,7,riemann_lr,region_dropout,all_channels,0.046875,1.0,0.905,0.0960300367981775,0.2505775417442463,64,3.0
PhysionetMotorImagery,7,riemann_lr,region_dropout,all_channels,0.140625,0.99,0.5,0.3487571472740235,0.4175156028891255,64,9.0
PhysionetMotorImagery,8,riemann_lr,channel_dropout,all_channels,0.1,0.539,0.5005,0.3315991154651096,0.335767892806073,64,6.0
