metric,numerator,denominator,rate,ci_low,ci_high
clean_working,62.0,109,0.5688073394495413,0.4704655043441137,0.6633150323247026
dropout_failure_among_all,27.0,109,0.24770642201834864,0.17001985225679717,0.33956850781080833
montage_rescue_among_all,56.0,109,0.5137614678899083,0.4161154946748893,0.6106410117852902
montage_rescue_among_dropout_failures,14.0,27,0.5185185185185185,0.3194965461333836,0.7133274518680603
mean_deployability_score,,109,0.6998895897043832,,
