dataset,pipeline,subject,metric,n_conditions,slope_per_100pct_dropout,slope_per_10pct_dropout,intercept,r_value,p_value_subject_slope
BNCI2014-001,riemann_lr,1,roc_auc,5,-0.26752601930961034,-0.026752601930961035,0.972454331348505,-0.9859988417275989,0.001984566272023612
BNCI2014-001,riemann_lr,1,balanced_accuracy,5,-0.6494324990014647,-0.06494324990014648,0.7761288443616031,-0.8310311815978807,0.08123032867437747
BNCI2014-001,riemann_lr,1,brier_score,5,0.6156088098610398,0.06156088098610399,0.1749837284563328,0.8656594908152693,0.057901980607871044
BNCI2014-001,riemann_lr,1,ece,5,0.5459241426751297,0.05459241426751297,0.21522449764429846,0.826008886994631,0.0848109980008249
BNCI2014-001,riemann_lr,2,roc_auc,5,-0.3162820966031432,-0.03162820966031432,0.6628536766765067,-0.9563911175386332,0.010860126073746687
BNCI2014-001,riemann_lr,2,balanced_accuracy,5,-0.2463686592996938,-0.02463686592996938,0.5910557848488883,-0.705323365910877,0.18329777310301576
BNCI2014-001,riemann_lr,2,brier_score,5,0.3518159963378199,0.03518159963378199,0.29751978523413214,0.793415900704163,0.10915443956466087
BNCI2014-001,riemann_lr,2,ece,5,0.4606151232281875,0.04606151232281875,0.23873686154434332,0.7470092264914889,0.14681878623559982
BNCI2014-001,riemann_lr,3,roc_auc,5,-0.19803896813409283,-0.019803896813409286,1.0101714267350415,-0.954656734333805,0.011511368627817367
BNCI2014-001,riemann_lr,3,balanced_accuracy,5,-0.7881091066435892,-0.07881091066435893,0.8753889295699641,-0.8900503281886178,0.04303575124829899
BNCI2014-001,riemann_lr,3,brier_score,5,0.6958279777630951,0.06958279777630952,0.09387700900666635,0.9260001743973523,0.023894591391055004
BNCI2014-001,riemann_lr,3,ece,5,0.6106309966356054,0.06106309966356054,0.162357170827858,0.880838679302818,0.048486164249215084
BNCI2014-001,riemann_lr,4,roc_auc,5,-0.39944254174337385,-0.03994425417433739,0.8872024823362515,-0.9924008657014549,0.0007942996637380688
BNCI2014-001,riemann_lr,4,balanced_accuracy,5,-0.48277193449607236,-0.048277193449607236,0.6865989881507123,-0.7283212484392423,0.16288276023716242
BNCI2014-001,riemann_lr,4,brier_score,5,0.5014020843996186,0.050140208439961864,0.2559093617670062,0.7405755342850948,0.15229411315009161
BNCI2014-001,riemann_lr,4,ece,5,0.504171107244697,0.05041711072446971,0.25008877623667447,0.7057640403522714,0.18290015164218895
BNCI2014-001,riemann_lr,5,roc_auc,5,-0.3055715984372344,-0.030557159843723442,0.6700433157805333,-0.9811871141750464,0.0030887846668937033
BNCI2014-001,riemann_lr,5,balanced_accuracy,5,-0.17784249767008364,-0.017784249767008365,0.5730711622953002,-0.77231888354862,0.1258653246322554
BNCI2014-001,riemann_lr,5,brier_score,5,0.31948353037707106,0.03194835303770711,0.28160813075796454,0.8647787522707442,0.05846423903133397
BNCI2014-001,riemann_lr,5,ece,5,0.4275241512952227,0.04275241512952227,0.21284101372735378,0.7984430874055706,0.10527948610895799
BNCI2014-001,riemann_lr,6,roc_auc,5,-0.5345593130075887,-0.053455931300758874,0.8489096566415234,-0.9961831758995873,0.0002829034711865939
BNCI2014-001,riemann_lr,6,balanced_accuracy,5,-0.42200106510451346,-0.04220010651045135,0.6684486087072293,-0.7942834635051543,0.10848270766990528
BNCI2014-001,riemann_lr,6,brier_score,5,0.44544559260094546,0.04454455926009455,0.2498048841188465,0.7945261165477309,0.10829505162532373
BNCI2014-001,riemann_lr,6,ece,5,0.4734689792982472,0.04734689792982472,0.2274792093503101,0.7403598851023562,0.1524786514927773
BNCI2014-001,riemann_lr,7,roc_auc,5,-0.4423815186003054,-0.04423815186003054,0.9403184983862747,-0.9883131748645291,0.0015139651632627034
BNCI2014-001,riemann_lr,7,balanced_accuracy,5,-0.6239848222606844,-0.06239848222606845,0.7578554786313407,-0.8042151778892932,0.10088303577005918
BNCI2014-001,riemann_lr,7,brier_score,5,0.60005436009771,0.060005436009771,0.18537745812686146,0.8946457257229461,0.040394951321024705
BNCI2014-001,riemann_lr,7,ece,5,0.48178582602010567,0.04817858260201057,0.22912943873583377,0.889583835601982,0.043306784012534065
BNCI2014-001,riemann_lr,8,roc_auc,5,-0.17554575128891428,-0.017554575128891428,1.0048436086842747,-0.9743684510715988,0.004907036805273741
BNCI2014-001,riemann_lr,8,balanced_accuracy,5,-0.8341499134602587,-0.08341499134602587,0.8827716016509121,-0.9015596724166492,0.03652367465458146
BNCI2014-001,riemann_lr,8,brier_score,5,0.6802382575177581,0.06802382575177582,0.0934405698664208,0.9191512293934657,0.027258745147221698
BNCI2014-001,riemann_lr,8,ece,5,0.6077719624233737,0.06077719624233738,0.15978827851465452,0.8731410314722678,0.05319538952992681
BNCI2014-001,riemann_lr,9,roc_auc,5,-0.26974724427162,-0.026974724427162002,0.922390597238992,-0.9789803904532253,0.0036466725440911824
BNCI2014-001,riemann_lr,9,balanced_accuracy,5,-0.5581147650113167,-0.05581147650113168,0.7590783517507655,-0.820644583393711,0.08868746523247495
BNCI2014-001,riemann_lr,9,brier_score,5,0.47508796348743154,0.04750879634874316,0.1864304415064773,0.8211540805150058,0.08831700347713771
BNCI2014-001,riemann_lr,9,ece,5,0.45775645456517583,0.045775645456517584,0.1930443420505289,0.7586638314994435,0.1370518707084514
